Date : 2021-05-11 16:10:17
Directory : /Users/trieu.nhtvn/khoa4
Total : 90 files,  25657 codes, 124 comments, 653 blanks, all 26434 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          3 |     20,874 |          0 |          3 |     20,877 |
| JavaScript  |         77 |      3,761 |         50 |        401 |      4,212 |
| CSS         |          6 |        911 |         74 |        211 |      1,196 |
| Django HTML |          1 |         69 |          0 |          4 |         73 |
| Markdown    |          1 |         38 |          0 |         33 |         71 |
| Django txt  |          1 |          3 |          0 |          1 |          4 |
| XML         |          1 |          1 |          0 |          0 |          1 |
+-------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         90 |     25,657 |        124 |        653 |     26,434 |
| public                                                                                             |          3 |         97 |          0 |          6 |        103 |
| src                                                                                                |         84 |      4,673 |        124 |        612 |      5,409 |
| src/HOC                                                                                            |          1 |         42 |          3 |          3 |         48 |
| src/HOC/Cyberbugs                                                                                  |          1 |         42 |          3 |          3 |         48 |
| src/HOC/Cyberbugs/DrawerCyberbugs                                                                  |          1 |         42 |          3 |          3 |         48 |
| src/components                                                                                     |         12 |      1,122 |         15 |         56 |      1,193 |
| src/components/Cyberbugs                                                                           |          6 |        564 |          9 |         28 |        601 |
| src/components/Cyberbugs/Main                                                                      |          3 |        117 |          0 |          9 |        126 |
| src/components/Cyberbugs/Modal                                                                     |          1 |        319 |          9 |         13 |        341 |
| src/components/Forms                                                                               |          2 |        394 |          6 |         24 |        424 |
| src/components/Forms/FormCreateTask                                                                |          1 |        280 |          6 |         14 |        300 |
| src/components/Forms/FormEditProject                                                               |          1 |        114 |          0 |         10 |        124 |
| src/components/GlobalSetting                                                                       |          2 |         30 |          0 |          2 |         32 |
| src/components/GlobalSetting/LoadingComponent                                                      |          2 |         30 |          0 |          2 |         32 |
| src/components/Home                                                                                |          2 |        134 |          0 |          2 |        136 |
| src/pages                                                                                          |         17 |      1,836 |         42 |        238 |      2,116 |
| src/pages/About                                                                                    |          1 |          4 |          0 |          2 |          6 |
| src/pages/BaiTapToDoListSaga                                                                       |          2 |        427 |         10 |         72 |        509 |
| src/pages/Contact                                                                                  |          1 |          4 |          0 |          2 |          6 |
| src/pages/CyberBugs                                                                                |          4 |        498 |          3 |         37 |        538 |
| src/pages/CyberBugs/CreateProject                                                                  |          1 |         97 |          0 |          8 |        105 |
| src/pages/CyberBugs/LoginCyberBugs                                                                 |          1 |         91 |          0 |          9 |        100 |
| src/pages/CyberBugs/ProjectDetail                                                                  |          1 |         23 |          1 |          5 |         29 |
| src/pages/CyberBugs/ProjectManagement                                                              |          1 |        287 |          2 |         15 |        304 |
| src/pages/Detail                                                                                   |          1 |         10 |          0 |          2 |         12 |
| src/pages/Home                                                                                     |          1 |         13 |          0 |          2 |         15 |
| src/pages/Login                                                                                    |          1 |         71 |          5 |         11 |         87 |
| src/pages/PageNotFound                                                                             |          1 |          4 |          0 |          2 |          6 |
| src/pages/Profile                                                                                  |          1 |         10 |          0 |          2 |         12 |
| src/pages/ToDoList                                                                                 |          4 |        795 |         24 |        106 |        925 |
| src/redux                                                                                          |         33 |        928 |         13 |        162 |      1,103 |
| src/redux/actions                                                                                  |          2 |         86 |          0 |         13 |         99 |
| src/redux/constants                                                                                |          9 |         27 |          1 |         16 |         44 |
| src/redux/constants/Cyberbugs                                                                      |          7 |         19 |          0 |         13 |         32 |
| src/redux/reducers                                                                                 |         12 |        251 |          0 |         37 |        288 |
| src/redux/sagas                                                                                    |          9 |        527 |         12 |         90 |        629 |
| src/redux/sagas/Cyberbugs                                                                          |          7 |        424 |          2 |         70 |        496 |
| src/services                                                                                       |          9 |        180 |          0 |         38 |        218 |
