"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/trieu.nhtvn/khoa4/src/App.css", "CSS", 0, 0, 1, 39, 1, 41
"/Users/trieu.nhtvn/khoa4/src/App.js", "JavaScript", 70, 0, 0, 1, 3, 74
"/Users/trieu.nhtvn/khoa4/src/App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/trieu.nhtvn/khoa4/src/HOC/Cyberbugs/DrawerCyberbugs/DrawerCyberbugs.js", "JavaScript", 42, 0, 0, 3, 3, 48
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/Main/ContentMain.js", "JavaScript", 66, 0, 0, 0, 4, 70
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/Main/HeaderMain.js", "JavaScript", 16, 0, 0, 0, 2, 18
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/Main/InfoMain.js", "JavaScript", 35, 0, 0, 0, 3, 38
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/MenuCyberbugs.js", "JavaScript", 71, 0, 0, 0, 2, 73
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/Modal/ModalCyberbugs.js", "JavaScript", 319, 0, 0, 9, 13, 341
"/Users/trieu.nhtvn/khoa4/src/components/Cyberbugs/SidebarCyberbugs.js", "JavaScript", 57, 0, 0, 0, 4, 61
"/Users/trieu.nhtvn/khoa4/src/components/Forms/FormCreateTask/FormCreateTask.js", "JavaScript", 280, 0, 0, 6, 14, 300
"/Users/trieu.nhtvn/khoa4/src/components/Forms/FormEditProject/FormEditProject.js", "JavaScript", 114, 0, 0, 0, 10, 124
"/Users/trieu.nhtvn/khoa4/src/components/GlobalSetting/LoadingComponent/LoadingComponent.js", "JavaScript", 18, 0, 0, 0, 2, 20
"/Users/trieu.nhtvn/khoa4/src/components/GlobalSetting/LoadingComponent/LoadingComponent.module.css", "CSS", 0, 0, 12, 0, 0, 12
"/Users/trieu.nhtvn/khoa4/src/components/Home/Header.css", "CSS", 0, 0, 4, 0, 0, 4
"/Users/trieu.nhtvn/khoa4/src/components/Home/Header.js", "JavaScript", 130, 0, 0, 0, 2, 132
"/Users/trieu.nhtvn/khoa4/src/index.css", "CSS", 0, 0, 370, 4, 91, 465
"/Users/trieu.nhtvn/khoa4/src/index.js", "JavaScript", 17, 0, 0, 3, 3, 23
"/Users/trieu.nhtvn/khoa4/src/logo.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/trieu.nhtvn/khoa4/src/pages/About/About.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/Users/trieu.nhtvn/khoa4/src/pages/BaiTapToDoListSaga/BaiTapToDoListSaga.js", "JavaScript", 160, 0, 0, 0, 12, 172
"/Users/trieu.nhtvn/khoa4/src/pages/BaiTapToDoListSaga/ToDoList.css", "CSS", 0, 0, 267, 10, 60, 337
"/Users/trieu.nhtvn/khoa4/src/pages/Contact/Contact.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/Users/trieu.nhtvn/khoa4/src/pages/CyberBugs/CreateProject/CreateProject.js", "JavaScript", 97, 0, 0, 0, 8, 105
"/Users/trieu.nhtvn/khoa4/src/pages/CyberBugs/LoginCyberBugs/LoginCyberBugs.js", "JavaScript", 91, 0, 0, 0, 9, 100
"/Users/trieu.nhtvn/khoa4/src/pages/CyberBugs/ProjectDetail/IndexCyberbugs.js", "JavaScript", 23, 0, 0, 1, 5, 29
"/Users/trieu.nhtvn/khoa4/src/pages/CyberBugs/ProjectManagement/ProjectManagement.js", "JavaScript", 287, 0, 0, 2, 15, 304
"/Users/trieu.nhtvn/khoa4/src/pages/Detail/Detail.js", "JavaScript", 10, 0, 0, 0, 2, 12
"/Users/trieu.nhtvn/khoa4/src/pages/Home/Home.js", "JavaScript", 13, 0, 0, 0, 2, 15
"/Users/trieu.nhtvn/khoa4/src/pages/Login/Login.js", "JavaScript", 71, 0, 0, 5, 11, 87
"/Users/trieu.nhtvn/khoa4/src/pages/PageNotFound/PageNotFound.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/Users/trieu.nhtvn/khoa4/src/pages/Profile/Profile.js", "JavaScript", 10, 0, 0, 0, 2, 12
"/Users/trieu.nhtvn/khoa4/src/pages/ToDoList/ToDoList.css", "CSS", 0, 0, 257, 21, 59, 337
"/Users/trieu.nhtvn/khoa4/src/pages/ToDoList/ToDoList.js", "JavaScript", 196, 0, 0, 1, 18, 215
"/Users/trieu.nhtvn/khoa4/src/pages/ToDoList/ToDoListRFC.js", "JavaScript", 194, 0, 0, 1, 17, 212
"/Users/trieu.nhtvn/khoa4/src/pages/ToDoList/ToDoListRedux.js", "JavaScript", 148, 0, 0, 1, 12, 161
"/Users/trieu.nhtvn/khoa4/src/redux/actions/CyberbugActions.js", "JavaScript", 8, 0, 0, 0, 2, 10
"/Users/trieu.nhtvn/khoa4/src/redux/actions/ToDoListActions.js", "JavaScript", 78, 0, 0, 0, 11, 89
"/Users/trieu.nhtvn/khoa4/src/redux/configStore.js", "JavaScript", 37, 0, 0, 0, 6, 43
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/Cyberbugs.js", "JavaScript", 5, 0, 0, 0, 5, 10
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/PriorityConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/ProjectConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/StatusConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/TaskConst.js", "JavaScript", 4, 0, 0, 0, 3, 7
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/TaskTypeConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/Cyberbugs/UserConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/LoadingConst.js", "JavaScript", 2, 0, 0, 0, 1, 3
"/Users/trieu.nhtvn/khoa4/src/redux/constants/ToDoListConstants.js", "JavaScript", 6, 0, 0, 1, 2, 9
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/DrawerCyberbugsReducer.js", "JavaScript", 39, 0, 0, 0, 3, 42
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/HistoryReducer.js", "JavaScript", 14, 0, 0, 0, 3, 17
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/LoadingReducer.js", "JavaScript", 18, 0, 0, 0, 3, 21
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/PriorityReducer.js", "JavaScript", 12, 0, 0, 0, 4, 16
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectCategoryReducer.js", "JavaScript", 14, 0, 0, 0, 3, 17
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectCyberbugsReducer.js", "JavaScript", 18, 0, 0, 0, 3, 21
"/Users/trieu.nhtvn/khoa4/src/redux/reducers/ProjectReducer.js", "JavaScript", 23, 0, 0, 0, 2, 25
